"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
41,"prev_strata",3,15,0.92,0.95,50000,20300041,2486.538,"block_0041.rds","0d5f246e87d32887d250c62ad04be7aa",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
42,"prev_strata",3,15,0.97,0.05,50000,20300042,2523.368,"block_0042.rds","842fbba520f7ff998446a1951370f7f4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
40,"prev_strata",3,15,0.92,0.8,50000,20300040,2868.99,"block_0040.rds","54d8e1d78ab7a849221ad3c9f6b338e6",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
