"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
486,"prev_strata",5,200,0.85,0.95,50000,20300486,895.088,"block_0486.rds","4e1bc7fb12932205717cc6f734de6c2c",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
487,"prev_strata",5,200,0.92,0.05,50000,20300487,895.324,"block_0487.rds","1a957c9f25e282ecf09168a1caf13e14",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
488,"prev_strata",5,200,0.92,0.2,50000,20300488,891.386,"block_0488.rds","e05aeb25055818f64747199f57e20ca6",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
489,"prev_strata",5,200,0.92,0.5,50000,20300489,890.136,"block_0489.rds","fc46e879c62d7b44d9e51b9378eb104b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
490,"prev_strata",5,200,0.92,0.8,50000,20300490,896.525,"block_0490.rds","3102088fe1851cf220daa91e492adf28",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
491,"prev_strata",5,200,0.92,0.95,50000,20300491,889.692,"block_0491.rds","81f35ba06a2eeef1ddc8a8a0ba0e1305",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
492,"prev_strata",5,200,0.97,0.05,50000,20300492,892.91,"block_0492.rds","1c599a1712e86543e6c2bb10b8f16686",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
493,"prev_strata",5,200,0.97,0.2,50000,20300493,895.951,"block_0493.rds","998f6d0b9bc4bb271d70136c8de53315",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
494,"prev_strata",5,200,0.97,0.5,50000,20300494,891.924,"block_0494.rds","a3c45653330303e74c9fc3a45b69f4ff",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
495,"prev_strata",5,200,0.97,0.8,50000,20300495,891.467,"block_0495.rds","99563fb4328e690007bb70f19cbf3985",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
496,"prev_strata",5,200,0.97,0.95,50000,20300496,888.13,"block_0496.rds","c73aa14d741c06295230335b2b1f2fac",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
497,"prev_strata",5,300,0.65,0.05,50000,20300497,890.897,"block_0497.rds","dadac6aa631d085848f26b8a7654b881",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
498,"prev_strata",5,300,0.65,0.2,50000,20300498,899.112,"block_0498.rds","14e569620044b65f24335c39e06bbeb6",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
499,"prev_strata",5,300,0.65,0.5,50000,20300499,890.526,"block_0499.rds","20a3f60e2b47c34a7cdaefe2391a3abb",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
500,"prev_strata",5,300,0.65,0.8,50000,20300500,896.708,"block_0500.rds","3d9d7be60b8b1376d6d426f938e46e2d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
501,"prev_strata",5,300,0.65,0.95,50000,20300501,899.433,"block_0501.rds","3d350cd208e3cbb7128bbffde997a814",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
502,"prev_strata",5,300,0.75,0.05,50000,20300502,920.763,"block_0502.rds","18946661c5e5bea356abdff7d8b8b3f3",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
503,"prev_strata",5,300,0.75,0.2,50000,20300503,918.385,"block_0503.rds","057a6218f2ec59f0054e5270106ab7c5",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
504,"prev_strata",5,300,0.75,0.5,50000,20300504,913.108,"block_0504.rds","0a5ac9f8e49d009bfd0d93b81902e84f",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
505,"prev_strata",5,300,0.75,0.8,50000,20300505,911.499,"block_0505.rds","93db683590506865134f9106cfb2120b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
506,"prev_strata",5,300,0.75,0.95,50000,20300506,918.618,"block_0506.rds","d9d77a8bebe945dadbc5624074427fc9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
507,"prev_strata",5,300,0.85,0.05,50000,20300507,911.438,"block_0507.rds","940dcbfc5fca5951ae061a174831318b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
