"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
104,"prev_strata",3,50,0.75,0.5,50000,20300104,2322.838,"block_0104.rds","ef112496d83a9fd87fa36aee6ab5aa27",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
102,"prev_strata",3,50,0.75,0.05,50000,20300102,2343.028,"block_0102.rds","02e5522307440858b02acbc86b17107f",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
103,"prev_strata",3,50,0.75,0.2,50000,20300103,2414.994,"block_0103.rds","4dce2cf24bca52063684d32db733147a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
106,"prev_strata",3,50,0.75,0.95,50000,20300106,2339.715,"block_0106.rds","361e9aecaace16f349036e499ac39529",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
105,"prev_strata",3,50,0.75,0.8,50000,20300105,2456.02,"block_0105.rds","a085c5818b4c6e2c72f1049e1519d89a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
107,"prev_strata",3,50,0.85,0.05,50000,20300107,2550.413,"block_0107.rds","306ba6d9f13d8e10e745a63b7efb862d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
109,"prev_strata",3,50,0.85,0.5,50000,20300109,2485.135,"block_0109.rds","299c5adf91b3d40b39cb15e0f1df1797",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
108,"prev_strata",3,50,0.85,0.2,50000,20300108,2666.396,"block_0108.rds","e73ea6c05953bdda657285cfbb4b258d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
110,"prev_strata",3,50,0.85,0.8,50000,20300110,2682.696,"block_0110.rds","fbad12f1763a56ef9c569d805361dc87",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
