"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
2007,"lattice_k",7,20,0.65,NA,50000,20302007,881.997,"block_2007.rds","74721ad64048b2548a12466d268405da",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2008,"lattice_k",7,20,0.75,NA,50000,20302008,884.019,"block_2008.rds","d5cf5fdbb9796ce3433e7a54074868cc",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2009,"lattice_k",7,20,0.85,NA,50000,20302009,886.195,"block_2009.rds","3331e696a2a646d129d2d23a8faca5c1",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2010,"lattice_k",7,20,0.92,NA,50000,20302010,886.481,"block_2010.rds","b3b30a5bcff490f909a24213f5fba197",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2011,"lattice_k",7,20,0.97,NA,50000,20302011,887.468,"block_2011.rds","5394ac1b2a7307db02c175c891ef6be4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2012,"lattice_k",7,30,0.65,NA,50000,20302012,885.862,"block_2012.rds","5434b0ac5826118e87cd663c5ff8a7be",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2013,"lattice_k",7,30,0.75,NA,50000,20302013,885.457,"block_2013.rds","78da8723487d8555d00dfda6181d7dcd",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2014,"lattice_k",7,30,0.85,NA,50000,20302014,880.092,"block_2014.rds","223b4e944343033d47e263ddc17d47a9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2015,"lattice_k",7,30,0.92,NA,50000,20302015,885.436,"block_2015.rds","75a14cca71e843bd70ee898351f8b1bc",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2016,"lattice_k",7,30,0.97,NA,50000,20302016,883.327,"block_2016.rds","fcb564f38bf5daab92421861a97ee5f8",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2017,"lattice_k",7,50,0.65,NA,50000,20302017,886.702,"block_2017.rds","0a28c9ad7858b7fd9f52b3be994bbbcc",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2018,"lattice_k",7,50,0.75,NA,50000,20302018,885.722,"block_2018.rds","240a40e515c6d8c1e420493508a2bf60",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2019,"lattice_k",7,50,0.85,NA,50000,20302019,884.53,"block_2019.rds","70d531fc599719b3dccc2b6f77adae24",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2020,"lattice_k",7,50,0.92,NA,50000,20302020,890.209,"block_2020.rds","92d24333ce8c010cc2bc65772a3983c9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2021,"lattice_k",7,50,0.97,NA,50000,20302021,890.272,"block_2021.rds","a7de9c7a9a7912d201b54059da7ee852",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
