"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
1927,"prev_strata",25,1000,0.75,0.05,50000,20301927,1942.441,"block_1927.rds","85ea90b5e3c800f144eaf974991c6a02",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1928,"prev_strata",25,1000,0.75,0.2,50000,20301928,1957.036,"block_1928.rds","97f3de27a8b66f8188c972ef7b0c30ad",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1929,"prev_strata",25,1000,0.75,0.5,50000,20301929,1958.584,"block_1929.rds","c0052e3a30a6c7eb92f75b04ea063164",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1930,"prev_strata",25,1000,0.75,0.8,50000,20301930,1955.537,"block_1930.rds","bb482df33153db643138f175f9b2e7c8",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1931,"prev_strata",25,1000,0.75,0.95,50000,20301931,1945.698,"block_1931.rds","b6ed67ec96ec86fbd7180e25fa7ec693",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1932,"prev_strata",25,1000,0.85,0.05,50000,20301932,1938.937,"block_1932.rds","bcea73d9f191b96669afe01b77fb4deb",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1933,"prev_strata",25,1000,0.85,0.2,50000,20301933,1942.139,"block_1933.rds","184d7cbd53ca9f37cdac6a439321897c",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1934,"prev_strata",25,1000,0.85,0.5,50000,20301934,1956.672,"block_1934.rds","45396d82062368a6e204e1607c9625e2",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1935,"prev_strata",25,1000,0.85,0.8,50000,20301935,1947.117,"block_1935.rds","aef2f4b0cd972413e3a2198cc2e0bb41",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1936,"prev_strata",25,1000,0.85,0.95,50000,20301936,1942.942,"block_1936.rds","e6ca8d30a7e77cff40fac803f0122378",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1937,"prev_strata",25,1000,0.92,0.05,50000,20301937,1933.53,"block_1937.rds","6bfcdac9612c76cb8426aeb846d1e3fb",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1938,"prev_strata",25,1000,0.92,0.2,50000,20301938,1949.962,"block_1938.rds","34e23ed52a806d1ab09f7f4c330f6d2d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1939,"prev_strata",25,1000,0.92,0.5,50000,20301939,1949.106,"block_1939.rds","c9c0c651bf5c381f0c38b947ecb6d87d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1940,"prev_strata",25,1000,0.92,0.8,50000,20301940,1941.772,"block_1940.rds","0527b8907b780bc779f4d28cd1050156",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1941,"prev_strata",25,1000,0.92,0.95,50000,20301941,1932.302,"block_1941.rds","971208cea6a2006b5516354fd08d565b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1942,"prev_strata",25,1000,0.97,0.05,50000,20301942,1934.865,"block_1942.rds","fa24827c53322a7ad7c8b32cf125635d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1943,"prev_strata",25,1000,0.97,0.2,50000,20301943,1940.836,"block_1943.rds","f13bb868b028e080330e901194786b85",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1944,"prev_strata",25,1000,0.97,0.5,50000,20301944,1944.523,"block_1944.rds","520b5130ffae91e6aafa42c4d242a3d7",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1945,"prev_strata",25,1000,0.97,0.8,50000,20301945,1932.585,"block_1945.rds","a1645c92d2e734510b8c235f5dd2c4cc",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1946,"prev_strata",25,1000,0.97,0.95,50000,20301946,1935.222,"block_1946.rds","69cb0d1e22bf8e803e71da2ad5d60e17",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1947,"lattice_k",4,15,0.65,NA,50000,20301947,1127.058,"block_1947.rds","64398e3ef222be842ec9075c3bfdbcb0",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1948,"lattice_k",4,15,0.75,NA,50000,20301948,1149.097,"block_1948.rds","210d048c28ef1c36a01b674d26d13875",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
