"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
17,"tail_topup",10,200,0.85,NA,50000,20300017,6773.558,"block_0017.rds","362ffda2f3cb973604f5206d9b8b1413",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
18,"tail_topup",15,75,0.97,NA,50000,20300018,8058.526,"block_0018.rds","6e1622e1f386b4268a89ec2c02a60d34",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
16,"tail_topup",8,1000,0.65,NA,50000,20300016,16597.014,"block_0016.rds","f76b6ccbde5c477d452d8e3b439d772c",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
