"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
2047,"lattice_k",7,500,0.65,NA,50000,20302047,922.287,"block_2047.rds","cc58b60f576f2c78dca56eaa79bc66a4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2048,"lattice_k",7,500,0.75,NA,50000,20302048,920.844,"block_2048.rds","06d28297a68a3a8ae1cb8df1ecb2f820",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2049,"lattice_k",7,500,0.85,NA,50000,20302049,925.155,"block_2049.rds","81f5a163114b13834e4fa2580c1a4ed8",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2050,"lattice_k",7,500,0.92,NA,50000,20302050,926.32,"block_2050.rds","e036eb332bc0873a4b6aad3419096637",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2051,"lattice_k",7,500,0.97,NA,50000,20302051,922.452,"block_2051.rds","20691a649e0ce66d16154dd9707210ad",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2052,"lattice_k",7,1000,0.65,NA,50000,20302052,963.784,"block_2052.rds","40eec04d810b3ee54172e9e878d2bfa9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2053,"lattice_k",7,1000,0.75,NA,50000,20302053,964.776,"block_2053.rds","262c212d8eeaaeb77f652dd4f10ab0d4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2054,"lattice_k",7,1000,0.85,NA,50000,20302054,962.478,"block_2054.rds","b57800a8520a1730d207bf639e164f81",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2055,"lattice_k",7,1000,0.92,NA,50000,20302055,959.737,"block_2055.rds","b0033ea557f44e9c4b509c76b4ece3b1",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2056,"lattice_k",7,1000,0.97,NA,50000,20302056,961.352,"block_2056.rds","ac689a54813ed319741eadadca4b003b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2057,"lattice_k",12,15,0.65,NA,50000,20302057,918.215,"block_2057.rds","36a7db3562642382f25410866409d9a1",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2058,"lattice_k",12,15,0.75,NA,50000,20302058,918.362,"block_2058.rds","45fb3699e6276f170aab30d9e3a494da",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2059,"lattice_k",12,15,0.85,NA,50000,20302059,921.842,"block_2059.rds","e5b52c86253c19afa91a0843d1a2c775",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2060,"lattice_k",12,15,0.92,NA,50000,20302060,921.497,"block_2060.rds","6a5c91664dbaa1847e7cf7e466c2fbd6",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2061,"lattice_k",12,15,0.97,NA,50000,20302061,917.854,"block_2061.rds","184fe28c14637396cca50c65e2b79838",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2062,"lattice_k",12,20,0.65,NA,50000,20302062,932.971,"block_2062.rds","a331e282034c652fda7fe7120d406879",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2063,"lattice_k",12,20,0.75,NA,50000,20302063,931.888,"block_2063.rds","d5925e84ecd9f557c2ee741142fa08fc",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2064,"lattice_k",12,20,0.85,NA,50000,20302064,923.594,"block_2064.rds","7b11b73310a009d8cd65487120cadd9b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2065,"lattice_k",12,20,0.92,NA,50000,20302065,935.032,"block_2065.rds","f49cd1f930f9572012f1cb211b2189a5",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2066,"lattice_k",12,20,0.97,NA,50000,20302066,931.063,"block_2066.rds","1cf1718c2f1b9763b4bd077a783b388a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2067,"lattice_k",12,30,0.65,NA,50000,20302067,963.171,"block_2067.rds","a2ad90e37dfcfbf341cf71f1b1c78584",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2068,"lattice_k",12,30,0.75,NA,50000,20302068,962.879,"block_2068.rds","a3fc26003646eebb6800be4cd0ff2ef6",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2069,"lattice_k",12,30,0.85,NA,50000,20302069,936.286,"block_2069.rds","7294ed005e9c6bd5cc5e0e9f47c96f5a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2070,"lattice_k",12,30,0.92,NA,50000,20302070,937.484,"block_2070.rds","266c8db8868352646eff33d3eb0995de",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2071,"lattice_k",12,30,0.97,NA,50000,20302071,933.324,"block_2071.rds","337ba4a0a7328c5490e34be8cc589002",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2072,"lattice_k",12,50,0.65,NA,50000,20302072,971.225,"block_2072.rds","cfb1e7ff7a1c681c19952e7c4ad5ea53",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2073,"lattice_k",12,50,0.75,NA,50000,20302073,969.428,"block_2073.rds","2415cd5200af1eddfcb8b45bd176cfdb",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2074,"lattice_k",12,50,0.85,NA,50000,20302074,966.036,"block_2074.rds","8b0265c07d11a95fc3d8e3ea88fca98e",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2075,"lattice_k",12,50,0.92,NA,50000,20302075,969.339,"block_2075.rds","48bdd13d52a774f67cdcc88ef0398a8b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2076,"lattice_k",12,50,0.97,NA,50000,20302076,942.066,"block_2076.rds","81b88da5f4dee2f61cf82b0ca76bc79d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2077,"lattice_k",12,75,0.65,NA,50000,20302077,973.753,"block_2077.rds","996195c4cd751c8074c27b8ffb77aa63",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
