"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
1887,"prev_strata",25,300,0.92,0.05,50000,20301887,1532.17,"block_1887.rds","d3582db606ee4ff2b9e5c97b16719cc0",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1888,"prev_strata",25,300,0.92,0.2,50000,20301888,1530.936,"block_1888.rds","caab88dc32b22baf0da6290cacd37d39",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1889,"prev_strata",25,300,0.92,0.5,50000,20301889,1529.657,"block_1889.rds","4aee09feb6c0ebaec4eebefc875360b4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1890,"prev_strata",25,300,0.92,0.8,50000,20301890,1529.48,"block_1890.rds","891edfff5a13349ee38a103b4d3f0496",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1891,"prev_strata",25,300,0.92,0.95,50000,20301891,1525.732,"block_1891.rds","fb07d4702d389bd8cf1d780dbcaad681",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1892,"prev_strata",25,300,0.97,0.05,50000,20301892,1536.873,"block_1892.rds","85920b8694af652b03d63746a2f0d5e9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1893,"prev_strata",25,300,0.97,0.2,50000,20301893,1536.335,"block_1893.rds","f1e9c27b29e4ef09acdb22539037c10f",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1894,"prev_strata",25,300,0.97,0.5,50000,20301894,1534.994,"block_1894.rds","bf60a2412d9c78e6f9434ca5ab24f3af",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1895,"prev_strata",25,300,0.97,0.8,50000,20301895,1535.445,"block_1895.rds","3ef1c25f0b63fa235fd0f859f03a7072",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1896,"prev_strata",25,300,0.97,0.95,50000,20301896,1529.858,"block_1896.rds","4612c4d224ece7ed919de9622e9109ab",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1897,"prev_strata",25,500,0.65,0.05,50000,20301897,1642.697,"block_1897.rds","bef691172f858ec15b4eb752b864aabb",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1898,"prev_strata",25,500,0.65,0.2,50000,20301898,1646.491,"block_1898.rds","ac1b7ce633e651bf60d0247f0357a681",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1899,"prev_strata",25,500,0.65,0.5,50000,20301899,1646.887,"block_1899.rds","f8c36b77415054346ca1e59727374ce0",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1900,"prev_strata",25,500,0.65,0.8,50000,20301900,1645.702,"block_1900.rds","d2bfb65294af696447dcc596e517b5e5",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1901,"prev_strata",25,500,0.65,0.95,50000,20301901,1644.451,"block_1901.rds","9baa468a5685eaf1f327d9571f142e7a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1902,"prev_strata",25,500,0.75,0.05,50000,20301902,1638.331,"block_1902.rds","ae85ed098541abb943e83905a169f514",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1903,"prev_strata",25,500,0.75,0.2,50000,20301903,1641.984,"block_1903.rds","df276569cfade3dd758f758bde465960",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1904,"prev_strata",25,500,0.75,0.5,50000,20301904,1643.233,"block_1904.rds","70f794571b18a917f8b2f465c5e51b94",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1905,"prev_strata",25,500,0.75,0.8,50000,20301905,1643.194,"block_1905.rds","73c5f95a02c18cf71e6e2285d53bf253",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1906,"prev_strata",25,500,0.75,0.95,50000,20301906,1644.555,"block_1906.rds","55eb7b240fd8f1a821e0857059af6705",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1907,"prev_strata",25,500,0.85,0.05,50000,20301907,1642.852,"block_1907.rds","68d2bedfd8c3f4d1da0d2865a223e51c",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1908,"prev_strata",25,500,0.85,0.2,50000,20301908,1415.631,"block_1908.rds","728ea58dd0abaf70371a14919143f849",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1909,"prev_strata",25,500,0.85,0.5,50000,20301909,1421.297,"block_1909.rds","71576d1a29885ab4bd9fa5b199c08408",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1910,"prev_strata",25,500,0.85,0.8,50000,20301910,1416.468,"block_1910.rds","2804db248a26e572f6206f488df42bf1",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1911,"prev_strata",25,500,0.85,0.95,50000,20301911,1643.049,"block_1911.rds","79e5593f1e8601f3471478e779f599e0",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1912,"prev_strata",25,500,0.92,0.05,50000,20301912,1640.665,"block_1912.rds","1fc9a6d64ed810f5f3e0c3e86574203e",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1913,"prev_strata",25,500,0.92,0.2,50000,20301913,1645.499,"block_1913.rds","0326d0f72f323140dd5a1df4f91c0483",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
1914,"prev_strata",25,500,0.92,0.5,50000,20301914,1647.273,"block_1914.rds","50863bf7abb8d18baa4bba2f080a14fd",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
